time_s,x,y,z,reward,collision,success,attack
7.35,516.2587890625,502.519775390625,-0.5364863872528076,0.0,False,True,False
7.46,516.5380859375,502.4971618652344,-0.5471259355545044,0.0,False,True,False
7.57,516.8056640625,502.457275390625,-0.5525846481323242,0.0,False,True,False
7.68,517.0774536132812,502.3988952636719,-0.5529661178588867,0.0,False,True,False
7.79,517.3450927734375,502.32427978515625,-0.5484413504600525,0.0,False,True,False
7.9,517.6085815429688,502.23468017578125,-0.5396907329559326,0.0,False,True,False
8.01,517.867919921875,502.1315002441406,-0.527459442615509,0.0,False,True,False
8.13,518.1232299804688,502.01580810546875,-0.512462317943573,0.0,False,True,False
8.24,518.3745727539062,501.8889465332031,-0.4954107999801636,0.0,False,True,False
8.35,518.6215209960938,501.7502136230469,-0.493357390165329,0.0,False,True,False
8.46,518.8646240234375,501.60162353515625,-0.4995752274990082,0.0,False,True,False
8.57,519.1044921875,501.445556640625,-0.4983210265636444,0.0,False,True,False
8.68,519.341552734375,501.2827453613281,-0.49344727396965027,0.0,False,True,False
8.79,519.582275390625,501.108154296875,-0.496114581823349,0.0,False,True,False
8.9,519.8069458007812,500.9382629394531,-0.49876973032951355,0.0,False,True,False
9.01,520.0363159179688,500.75885009765625,-0.4991152882575989,0.0,False,True,False
9.12,520.2640991210938,500.57574462890625,-0.49151694774627686,0.0,False,True,False
9.23,520.4969482421875,500.3837890625,-0.4909549951553345,0.0,False,True,False
9.34,520.72314453125,500.1957092285156,-0.4909280836582184,0.0,False,True,False
9.45,520.9502563476562,500.0081481933594,-0.4916885495185852,0.0,False,True,False
9.56,521.1666259765625,499.83453369140625,-0.4952865242958069,0.0,False,True,False
9.67,521.4080810546875,499.65228271484375,-0.5050823092460632,0.0,False,True,False
9.78,521.647705078125,499.4871520996094,-0.5044148564338684,0.0,False,True,False
9.89,521.8869018554688,499.3492736816406,-0.521710991859436,0.0,False,True,False
10.0,522.138671875,499.232421875,-0.5464857816696167,0.0,False,True,False
10.11,522.395263671875,499.1375732421875,-0.5640692114830017,0.0,False,True,False
10.22,522.6484375,499.0645751953125,-0.5723209977149963,0.0,False,True,False
10.33,522.9131469726562,499.0078430175781,-0.573674738407135,0.0,False,True,False
10.44,523.1815795898438,498.96875,-0.5692180395126343,0.0,False,True,False
10.56,523.4525146484375,498.9463195800781,-0.5599683523178101,0.0,False,True,False
10.67,523.7254028320312,498.9396667480469,-0.5466724038124084,0.0,False,True,False
10.78,523.9993286132812,498.947998046875,-0.5298891663551331,0.0,False,True,False
10.89,524.2813110351562,498.9713134765625,-0.5093884468078613,0.0,False,True,False
11.0,524.5471801757812,499.0064697265625,-0.4899798035621643,0.0,False,True,False
11.11,524.8211059570312,499.0580139160156,-0.49367180466651917,0.0,False,True,False
11.22,525.0950317382812,499.121337890625,-0.5023033618927002,0.0,False,True,False
11.33,525.3770141601562,499.1941833496094,-0.4861244559288025,0.0,False,True,False
11.44,525.6428833007812,499.2700500488281,-0.4777548015117645,0.0,False,True,False
11.55,525.9248657226562,499.35382080078125,-0.4737643003463745,0.0,False,True,False
11.67,526.2088012695312,499.4313659667969,-0.47899654507637024,0.0,False,True,False
11.78,526.4860229492188,499.4937438964844,-0.49589842557907104,0.0,False,True,False
11.89,526.7559204101562,499.54083251953125,-0.5117514729499817,0.0,False,True,False
12.0,527.035400390625,499.57672119140625,-0.5115875601768494,0.0,False,True,False
12.11,527.3155517578125,499.59796142578125,-0.5058988928794861,0.0,False,True,False
12.22,527.595703125,499.6046142578125,-0.4969455897808075,0.0,False,True,False
12.33,527.8773803710938,499.5955810546875,-0.49816659092903137,0.0,False,True,False
12.44,528.1596069335938,499.5729064941406,-0.5032867789268494,0.0,False,True,False
12.55,528.44091796875,499.53997802734375,-0.49407681822776794,0.0,False,True,False
12.66,528.7210693359375,499.4945068359375,-0.49979397654533386,0.0,False,True,False
12.77,529.0094604492188,499.4384765625,-0.4960278868675232,0.0,False,True,False
12.88,529.2896118164062,499.3761291503906,-0.48581013083457947,0.0,False,True,False
12.99,529.5697631835938,499.30572509765625,-0.48770391941070557,0.0,False,True,False
13.1,529.8499145507812,499.229736328125,-0.4895624816417694,0.0,False,True,False
13.21,530.1300659179688,499.1504211425781,-0.4901895225048065,0.0,False,True,False
13.33,530.4103393554688,499.07061767578125,-0.49076196551322937,0.0,False,True,False
13.44,530.7008666992188,498.9910583496094,-0.4930604100227356,0.0,False,True,False
13.55,530.98486328125,498.91912841796875,-0.4974125921726227,0.0,False,True,False
13.66,531.2706298828125,498.8539733886719,-0.5012365579605103,0.0,False,True,False
13.77,531.5577392578125,498.7954406738281,-0.4930853545665741,0.0,False,True,False
13.88,531.8466796875,498.7454528808594,-0.49559280276298523,0.0,False,True,False
13.99,532.13720703125,498.70318603515625,-0.5003826022148132,0.0,False,True,False
14.1,532.42919921875,498.66754150390625,-0.4957320988178253,0.0,False,True,False
14.21,532.7218017578125,498.63909912109375,-0.49445468187332153,0.0,False,True,False
14.32,532.9812622070312,498.6197509765625,-0.49715614318847656,0.0,False,True,False
14.43,533.2759399414062,498.603759765625,-0.5004420280456543,0.0,False,True,False
14.54,533.5706176757812,498.5932922363281,-0.49475452303886414,0.0,False,True,False
14.65,533.865478515625,498.5888366699219,-0.495379775762558,0.0,False,True,False
14.76,534.1622314453125,498.58990478515625,-0.4975646734237671,0.0,False,True,False
14.87,534.458984375,498.59619140625,-0.49971577525138855,0.0,False,True,False
14.98,534.7644653320312,498.60736083984375,-0.4946952760219574,0.0,False,True,False
15.09,535.0612182617188,498.62310791015625,-0.49236953258514404,0.0,False,True,False
15.2,535.3579711914062,498.64349365234375,-0.4934883415699005,0.0,False,True,False
15.31,535.64599609375,498.6673583984375,-0.4948355257511139,0.0,False,True,False
15.42,535.9427490234375,498.69598388671875,-0.49611568450927734,0.0,False,True,False
15.53,536.2473754882812,498.7295227050781,-0.4972808063030243,0.0,False,True,False
15.64,536.5420532226562,498.7657470703125,-0.4982689619064331,0.0,False,True,False
15.75,536.8280639648438,498.80426025390625,-0.4991004467010498,0.0,False,True,False
15.86,537.1227416992188,498.8471984863281,-0.4998289942741394,0.0,False,True,False
15.98,537.4260864257812,498.8944396972656,-0.49619993567466736,0.0,False,True,False
16.09,537.7207641601562,498.9433288574219,-0.494632750749588,0.0,False,True,False
16.2,538.0152587890625,498.99505615234375,-0.494800329208374,0.0,False,True,False
16.31,538.307861328125,499.04925537109375,-0.49511006474494934,0.0,False,True,False
16.42,538.6004638671875,499.1058654785156,-0.4953770041465759,0.0,False,True,False
16.53,538.89306640625,499.16473388671875,-0.4955882728099823,0.0,False,True,False
16.64,539.1942749023438,499.2275695800781,-0.49575647711753845,0.0,False,True,False
16.75,539.4768676757812,499.2887268066406,-0.49587851762771606,0.0,False,True,False
16.86,539.7673950195312,499.3536376953125,-0.4959760010242462,0.0,False,True,False
16.97,540.0579223632812,499.4205017089844,-0.4960550367832184,0.0,False,True,False
17.08,540.3470458984375,499.48919677734375,-0.49612802267074585,0.0,False,True,False
17.19,540.635498046875,499.5596923828125,-0.4962141215801239,0.0,False,True,False
17.3,540.92236328125,499.6319274902344,-0.4963519871234894,0.0,False,True,False
17.41,541.1992797851562,499.703857421875,-0.4966273605823517,0.0,False,True,False
